Sl No,District,Teshil/Taluk,Area,Center_Type,Center_Name,Center_Address,Contact No,Pincode,Post_Office,Latitude,Longitude,Altitude
1,Ariyalur,Ariyalur,Ariyalur,Permanent,Collector Office,Collector Office Ariyalur,8508653194,621704,Ariyalur,11° 12.65' N,79° 21.75' E,80.70m
2,Ariyalur,Ariyalur(M),Ariyalur,Permanent,Ariyalur Municipality,Ariyalur Municipality,9865014799,621704,Ariyalur,11° 8.30' N,79° 4.50' E,246.80m
3,Ariyalur,Jayankondam(M),Udayarpalayam,Permanent,Jayankondam Municipality,Jayankondam Municipality,9659935665,621802,Jayamkondacholapuram,11° 12.41' N,79° 4.60' E,212.00m
4,Chennai,Chennai,Chennai,Permanent,Chennai Collector Office,"Singaravelar Maligai,Rajaji Salai",9940479376,600001,Chennai G.p,13° 5.77' N,80° 17.51' E,52.40m
5,Chennai,Nandanam,Chennai,Camp-Mode,Elcot Office,"Mhu Complex,Nandanam Chennai",9750704494,600035,Nandanam,13° 3.39' N,80° 14.31' E,143.00m
6,Chennai,Adayar,Chennai,Camp-Mode,Indusind Bank,Adayar,9362601128,600020,Adayar,12° 57.94' N,80° 14.90' E,3032.50m
7,Chennai,Royapettah,Chennai,Permanent,Indusind Bank,Royapettah,9884350474,600014,Royapettah,13° 2.52' N,80° 16.05' E,48.50m
8,Chennai,Velacherry,Chennai,Camp-Mode,Indusind Bank,Velachery 100ft Bypass Road Near Simran Appakadai,8508476916,600042,Velacherry,12° 56.28' N,80° 15.02' E,16.50m
9,Chennai,Madipakkam,Sholinganallur,Camp-Mode,Indusind Bank,23 Madavekkam Main Road Madipakkam,9626086029,600091,Madipakkam,12° 57.83' N,80° 11.26' E,37.90m
10,Chennai,Mogappair,Ambattur,Camp-Mode,Indusind Bank,Thiruvalluvar Nagar,9629468760,600037,Mogappair,13° 5.18' N,80° 10.75' E,-148.00m
11,Coimbatore,Coimbatore,Coimbatore South,Permanent,Coimbatorecity Municiple Corporation,Townhall Main Zone,9976273368,641001,Coimbatore,10° 59.61' N,76° 57.68' E,382.20m
12,Coimbatore,Coimbatore South,Coimbatore South,Permanent,Coimbatore Corporation,Coimbatore Corporation Office (East Zonal),9486300095,641005,Singanallur,11° .14' N,77° 1.77' E,119.70m
13,Coimbatore,Coimbatore South,Coimbatore South,Permanent,RS Puram,West Zone Rspuram Coimbatore,9942879685,641002,Rathinasabapathy Puram,11° .38' N,76° 57.17' E,431.20m
14,Coimbatore,Coimbatore South,Coimbatore South,Permanent,Corporation North Zone,Balasubramaniyam Road,8807121558,641037,Pappanaickenpalayam,11° .97' N,76° 58.66' E,339.00m
15,Coimbatore,Coimbatore South,Coimbatore South,Permanent,Centralzone,Coimbatore Corparation,9487691898,641018,Coimbatore Central,11° .19' N,76° 58.26' E,436.40m
16,Coimbatore,Coimbatore South,Coimbatore South,Permanent,Colletrate,Colletrate,9843800611,641018,Coimbatore Central,11° .01' N,76° 58.06' E,436.00m
17,Coimbatore,Coimbatore South,Coimbatore South,Permanent,Coimbatore Collectorate,Coimbatore Collectorate,7708572200,641018,Coimbatore Central,11° .01' N,76° 58.04' E,425.40m
18,Coimbatore,Goundampalayam,Coimbatore North,Permanent,Kavundapalayam,Kavundampalayam,8122363751,641030,Kavundampalayam Colony,11° 2.72' N,76° 56.11' E,1595.80m
19,Coimbatore,Kuniyamuthur,Coimbatore South,Permanent,Kuniyamuthur Zone,Coimbatore Corporation Kuniyamuthur,9943716180,641008,Kuniyamuthur,10° 57.42' N,76° 57.74' E,256.30m
20,Coimbatore,Mettupalayam,Mettupalayam,Permanent,Mettupalayam Zone,Mettupalayam Muncipality,9500510180,641301,Mettupalayam,11° 17.56' N,76° 56.46' E,334.70m
