Sl. No.,State/UT,Number of Biometric ID Cards distributed to marine fishers,Number of QR code enabled Aadhar cards distributed to marine fishers
1,Tamil Nadu,349744,224879
2,Puducherry,34037,13354
3,Karnataka,82216,39482
4,Gujarat,171480,130294
5,Daman and Diu,8170,14635
6,Kerala,217117,160715
7,Lakshadweep,13315,6360
8,Maharashtra,180936,75369
9,West Bengal,258696,116103
10,Goa,12396,10084
11,Andhra Pradesh,270284,133417
12,Telangana,NA,20110
13,Odisha,306050,288841
14,Andaman and Nicobar Islands,16888,7226
Grand Total,Grand Total,1921329,1240869
