Sl.No,District Name,Taluk Name,Village Name,Shop Code,Shop Name
1,Ariyalur,Ariyalur,Ariyalur,15DA001PN,Amutham
2,Ariyalur,Ariyalur,Ariyalur,15DB001PN,Amaravathi-1
3,Ariyalur,Ariyalur,Ariyalur,15DB002PN,Amaravathi-2
4,Ariyalur,Ariyalur,Ariyalur,15DB004PN,Amaravathi-III
5,Ariyalur,Ariyalur,Ariyalur,15DE001PN,A.C.M.S.1
6,Ariyalur,Ariyalur,Ariyalur,15DE002PN,A.C.M.S.2
7,Ariyalur,Ariyalur,Ariyalur,15DP001PN,V.S.P-1
8,Ariyalur,Ariyalur,Ariyalur,15DP002PN,V.S.P.II
9,Ariyalur,Ariyalur,Arasunagar,15DB003PN,Arasu Nagar
10,Ariyalur,Ariyalur,Kopiliankudikadu,15DP048P1,Kopiliankudikadu
11,Ariyalur,Ariyalur,Kadugur,15DP006PY,Kadugur
12,Ariyalur,Ariyalur,Manakkudi,15DP007PN,Manakkudi
13,Ariyalur,Ariyalur,K.Poyyur,15DP006P1,K.Poyyur
14,Ariyalur,Ariyalur,Ayan Athur,15DP048PY,Ayanathur
15,Ariyalur,Ariyalur,Govindapuram,15DP025PY,Govindapuram
16,Ariyalur,Ariyalur,Govindapuram,15DP025P1,M.suppurayapuram
17,Ariyalur,Ariyalur,Ameenapath,15DP124P1,Ameenapath
18,Ariyalur,Ariyalur,Valajanagaram,15DP027PY,Valajanagaram
19,Ariyalur,Ariyalur,Rajivnagar,15DP027P1,Rajivnagar
20,Ariyalur,Ariyalur,Min Nagar,15DP027P2,Min Nagar
21,Ariyalur,Ariyalur,Kayarlapath,15DP028PY,Kayarlapath
22,Ariyalur,Ariyalur,Kayarlapath,15DP028P1,Venkadakriushnapuram
23,Ariyalur,Ariyalur,Kallankurichi,15DP029PY,Kallankurichi
24,Ariyalur,Ariyalur,Usenabath,15DP029P1,Usenabath
25,Ariyalur,Ariyalur,Seenivasapuram,15DP029P2,Seenivasapuram
26,Ariyalur,Ariyalur,Manakkal,15DP025P2,Manakkal
27,Ariyalur,Ariyalur,O.Koothur,15DP031PN,Ottakovil-1
28,Ariyalur,Ariyalur,Ottakovil,15DP032PY,Ottakovil-II
29,Ariyalur,Ariyalur,Salaiyakurichi,15DP032P1,Salaiyakurichi
30,Ariyalur,Ariyalur,Thamaraikulam,15DP025P3,Thamaraikulam
31,Ariyalur,Ariyalur,Varanavasi,15DP055PY,Varanavasi
32,Ariyalur,Ariyalur,Thavuthaikullam,15DP055P1,Thavuthaikullam
33,Ariyalur,Ariyalur,Mallur,15DP087PN,Mallur
34,Ariyalur,Ariyalur,Parpannancheri,15DP088PY,Parpannancheri
35,Ariyalur,Ariyalur,Subrayapuram,15DP092PN,Subrayapuram
36,Ariyalur,Ariyalur,Maravanur,15DP088P1,Maravanur
37,Ariyalur,Ariyalur,Poyyur,15DP008PY,Poyyur
38,Ariyalur,Ariyalur,Arungal,15DP009PY,Arungal
39,Ariyalur,Ariyalur,Archanapuram,15DP009P1,Archanapuram
40,Ariyalur,Ariyalur,Kallakudi,15DP010PY,Kallakudi
41,Ariyalur,Ariyalur,Vannarapettai,15DP010P1,Vannarapettai
42,Ariyalur,Ariyalur,Melakaruppur,15DP011PY,Melakaruppur
43,Ariyalur,Ariyalur,Semmanthangudi,15DP011P1,Semmanthangudi
44,Ariyalur,Ariyalur,Karuvidaicheri,15DP008P1,Karuvidaichri
45,Ariyalur,Ariyalur,Keezhavannam,15DP100P2,Keelavannam
46,Ariyalur,Ariyalur,Karupilakattalai,15DP100PY,Karupilakattalai
47,Ariyalur,Ariyalur,Karupilakattalai,15DP100P1,Eleri
48,Ariyalur,Ariyalur,Athikudikadu,15DP033P1,Athikudikadu
49,Ariyalur,Ariyalur,Ayyanrayampuram,15DP033PY,Ayyanrayampuram
50,Ariyalur,Ariyalur,Sennivanam,15DP034PN,Sennivanam
51,Ariyalur,Ariyalur,Poyyathanallur,15DP013PN,Poyyathanallur
52,Ariyalur,Ariyalur,Illuppaiyur,15DP037P1,Illuppaiyur
53,Ariyalur,Ariyalur,Pottaveli,15DP037PY,Pottaveli
54,Ariyalur,Ariyalur,Vellur,15DP038PN,Velur
55,Ariyalur,Ariyalur,Periyanagalur,15DP081P1,Periyanagalur
56,Ariyalur,Ariyalur,Periyanagalur,15DP081PY,Kattupringiyam
57,Ariyalur,Ariyalur,Thelur,15DP040PY,Thelur
58,Ariyalur,Ariyalur,Asthinapuram,15DP041PN,Asthinapuram
59,Ariyalur,Ariyalur,Mannuli,15DP040P1,Mannuli
60,Ariyalur,Ariyalur,Vilangudi,15DP003PY,Vilangudi
61,Ariyalur,Ariyalur,Orathur,15DP003P1,Orathur
62,Ariyalur,Ariyalur,Kavanur,15DP004PY,Kavanur
63,Ariyalur,Ariyalur,Kavanur,15DP004P1,Kavanur1
64,Ariyalur,Ariyalur,Kathankudikadu,15DP004P2,Kathankudikadu
65,Ariyalur,Ariyalur,Pudupalayam,15DP012PY,Pudupalayam
66,Ariyalur,Ariyalur,Nerinjikkorai,15DP012P1,Nerinjikkorai
67,Ariyalur,Ariyalur,Siruvalur,15DP014PY,Siruvalur
68,Ariyalur,Ariyalur,Velipringiyam,15DP012P2,Velipringiyam
69,Ariyalur,Ariyalur,Kurichinatham,15DP014P1,Kurichinatham
70,Ariyalur,Ariyalur,Periyathirukonam,15DP015PY,Periyathirukonam
